speid	spename
17	Borreliella burgdorferi
18	Borrelia hermsii
19	Borrelia parkeri
20	Borrelia turicatae
24	Brachyspira
25	Treponema pallidum
27	Leptospira interrogans
30	Campylobacter coli
31	Campylobacter fetus
32	Campylobacter jejuni
40	Campylobacter sputorum
41	Helicobacter pylori
678	Brucella abortus
46	Elizabethkingia meningoseptica
55	Francisella tularensis
59	Pseudomonas aeruginosa
61	Burkholderia cepacia
62	Brevundimonas diminuta
68	Pseudomonas putida
73	Ralstonia picketti
99	Legionella pneumophila
106	Acinetobacter baumannii
107	Acinetobacter calcoaceticus
108	Moraxella
109	Moraxella catarrhalis
112	Neisseria gonorrhoeae
114	Neisseria meningitidis
117	Neisseria sicca
122	Kingella kingae
124	Alcaligenes faecalis
125	Bordetella bronchiseptica
126	Bordetella parapertussis
127	Bordetella pertussis
130	Chromobacterium violaceum
132	Eikenella corrodens
135	Citrobacter freundii
136	Klebsiella aerogenes
137	Pantoea agglomerans
138	Enterobacter cloacae
142	Escherichia coli
147	Klebsiella oxytoca
148	Klebsiella pneumoniae
151	Morganella morganii
152	Proteus mirabilis
153	Proteus vulgaris
154	Providencia rettgeri
155	Providencia stuartii
156	Salmonella enterica
157	Serratia liquefaciens
158	Serratia marcescens
160	Shigella boydii
161	Shigella dysenteriae
162	Shigella flexneri
163	Shigella sonnei
165	Yersinia enterocolitica
167	Yersinia pestis
168	Yersinia pseudotuberculosis
169	Edwardsiella tarda
171	Aeromonas hydrophila
172	Aeromonas salmonicida
173	Aeromonas caviae
177	Aeromonas veronii
180	Vibrio cholerae
182	Vibrio harveyi
183	Vibrio parahaemolyticus
184	Vibrio vulnificus
193	Plesiomonas shigelloides
194	Aggregatibacter actinomycetemcomitans
195	Actinobacillus
196	Haemophilus influenzae
206	Pasteurella multocida
210	Rodentibacter pneumotropicus
212	Bartonella bacilliformis
213	Coxiella burnetii
215	Rickettsia prowazekii
216	Rickettsia rickettsii
217	Orientia tsutsugamushi
218	Rickettsia typhi
219	Bartonella quintana
220	Bartonella elizabethae
221	Chlamydia trachomatis
222	Bacteroides fragilis
230	Porphyromonas
231	Prevotella
237	Fusobacterium necrophorum
252	Anaplasma phagocytophilum
287	Micrococcus luteus
292	Staphylococcus aureus
294	Staphylococcus epidermidis
295	Staphylococcus haemolyticus
299	Staphylococcus hominis
309	Streptococcus suis
313	Streptococcus agalactiae
314	Streptococcus pneumoniae
315	Streptococcus pyogenes
320	Streptococcus dysgalactiae
327	Streptococcus iniae
330	Enterococcus faecalis
331	Enterococcus faecium
333	Enterococcus hirae
344	Bacillus anthracis
347	Bacillus cereus
348	Niallia circulans
360	Bacillus subtilis
370	Virgibacillus pantothenticus
378	Clostridium botulinum
381	Clostridioides difficile
383	Hathewaya histolytica
385	Clostridium perfringens
387	Paeniclostridium sordellii
392	Clostridium tetani
400	Clostridium novyi
437	Listeria monocytogenes
443	Erysipelothrix rhusiopathiae
445	Actinomyces naeslundii
447	Actinomyces israelii
449	Trueperella pyogenes
462	Brevibacterium
466	Corynebacterium diphtheriae
468	Corynebacterium pseudotuberculosis
469	Corynebacterium renale
470	Corynebacterium xerosis
472	Propionibacterium
473	Cutibacterium acnes
476	Arachnia propionica
477	Mycobacterium avium
